Name,Title,Create Date,Tags,Original Name,Location
possible-topics-for-swaac,2013 05 possible topics for swaac org markdown,2013-05-01,"",2013/05/possible-topics-for-swaac.org.markdown,../SWAAC Posts/possible-topics-for-swaac.md
roles-and-activities-in-software-development,2013 05 roles and activities in software development org markdown,2013-05-01,"",2013/05/roles-and-activities-in-software-development.org.markdown,../SWAAC Posts/roles-and-activities-in-software-development.md
unit-testing-backbone-dot-js-applications,2013 02 unit testing backbone dot js applications org markdown,2013-02-01,"",2013/02/unit-testing-backbone-dot-js-applications.org.markdown,../SWAAC Posts/unit-testing-backbone-dot-js-applications.md
fascinating-article-pushing-the-boundaries-on-css-design,2013 11 fascinating article pushing the boundaries on css design org markdown,2013-11-01,"",2013/11/fascinating-article-pushing-the-boundaries-on-css-design.org.markdown,../SWAAC Posts/fascinating-article-pushing-the-boundaries-on-css-design.md
a-guide-to-ruby-collections-archives-sitepoint,2013 11 a guide to ruby collections archives sitepoint org markdown,2013-11-01,"",2013/11/a-guide-to-ruby-collections-archives-sitepoint.org.markdown,../SWAAC Posts/a-guide-to-ruby-collections-archives-sitepoint.md
creating-non-rectangular-layouts-with-css-shapes,2013 11 creating non rectangular layouts with css shapes org markdown,2013-11-01,"",2013/11/creating-non-rectangular-layouts-with-css-shapes.org.markdown,../SWAAC Posts/creating-non-rectangular-layouts-with-css-shapes.md
hashrocket-blog-sql-window-functions-and-you,2013 11 hashrocket blog sql window functions and you org markdown,2013-11-01,"",2013/11/hashrocket-blog-sql-window-functions-and-you.org.markdown,../SWAAC Posts/hashrocket-blog-sql-window-functions-and-you.md
good-collection-of-backbone-dot-js-topics,2013 11 good collection of backbone dot js topics org markdown,2013-11-01,"",2013/11/good-collection-of-backbone-dot-js-topics.org.markdown,../SWAAC Posts/good-collection-of-backbone-dot-js-topics.md
devops-for-developers-video-series,2013 11 devops for developers video series org markdown,2013-11-01,"",2013/11/devops-for-developers-video-series.org.markdown,../SWAAC Posts/devops-for-developers-video-series.md
mvc-is-dead-its-time-to-move-on,2013 11 mvc is dead its time to move on org markdown,2013-11-01,"",2013/11/mvc-is-dead-its-time-to-move-on.org.markdown,../SWAAC Posts/mvc-is-dead-its-time-to-move-on.md
multi-file-uploads-and-multiple-selects,2013 10 multi file uploads and multiple selects org markdown,2013-10-01,"",2013/10/multi-file-uploads-and-multiple-selects.org.markdown,../SWAAC Posts/multi-file-uploads-and-multiple-selects.md
free-free-100-s-of-free-programming-books,2013 10 free free 100 s of free programming books org markdown,2013-10-01,"",2013/10/free-free-100-s-of-free-programming-books.org.markdown,../SWAAC Posts/free-free-100-s-of-free-programming-books.md
apache-slash-php-5-dot-x-remote-code-execution-exploit,2013 10 apache slash php 5 dot x remote code execution exploit org markdown,2013-10-01,"",2013/10/apache-slash-php-5-dot-x-remote-code-execution-exploit.org.markdown,../SWAAC Posts/apache-slash-php-5-dot-x-remote-code-execution-exploit.md
bootstrap-follies-solving-a-repsonsive-positioning-problem,2013 10 bootstrap follies solving a repsonsive positioning problem org markdown,2013-10-01,"",2013/10/bootstrap-follies-solving-a-repsonsive-positioning-problem.org.markdown,../SWAAC Posts/bootstrap-follies-solving-a-repsonsive-positioning-problem.md
delete-a-remote-git-branch,2013 10 delete a remote git branch org markdown,2013-10-01,"",2013/10/delete-a-remote-git-branch.org.markdown,../SWAAC Posts/delete-a-remote-git-branch.md
adding-a-file-display-list-to-a-multi-file-upload-html-control,2013 10 adding a file display list to a multi file upload html control org markdown,2013-10-01,"",2013/10/adding-a-file-display-list-to-a-multi-file-upload-html-control.org.markdown,../SWAAC Posts/adding-a-file-display-list-to-a-multi-file-upload-html-control.md
devops-toolbox-introduction,2013 10 devops toolbox introduction org markdown,2013-10-01,"",2013/10/devops-toolbox-introduction.org.markdown,../SWAAC Posts/devops-toolbox-introduction.md
pdf-rendering-with-phantomjs-big-elephants,2013 10 pdf rendering with phantomjs big elephants org markdown,2013-10-01,"",2013/10/pdf-rendering-with-phantomjs-big-elephants.org.markdown,../SWAAC Posts/pdf-rendering-with-phantomjs-big-elephants.md
ruby-cant-get-page-data-from-jekyll-plugin-stack-overflow,2013 10 ruby cant get page data from jekyll plugin stack overflow org markdown,2013-10-01,"",2013/10/ruby-cant-get-page-data-from-jekyll-plugin-stack-overflow.org.markdown,../SWAAC Posts/ruby-cant-get-page-data-from-jekyll-plugin-stack-overflow.md
6-ways-to-remove-pain-from-feature-testing-in-ruby-on-rails,2013 10 6 ways to remove pain from feature testing in ruby on rails org markdown,2013-10-01,"",2013/10/6-ways-to-remove-pain-from-feature-testing-in-ruby-on-rails.org.markdown,../SWAAC Posts/6-ways-to-remove-pain-from-feature-testing-in-ruby-on-rails.md
generate-a-full-rails-app-with-a-composer,2013 10 generate a full rails app with a composer org markdown,2013-10-01,"",2013/10/generate-a-full-rails-app-with-a-composer.org.markdown,../SWAAC Posts/generate-a-full-rails-app-with-a-composer.md
caption-hover-effects-in-css3,2013 07 caption hover effects in css3 org markdown,2013-07-01,"",2013/07/caption-hover-effects-in-css3.org.markdown,../SWAAC Posts/caption-hover-effects-in-css3.md
jekyll-making-posts-sticky,2013 09 jekyll making posts sticky org markdown,2013-09-01,"",2013/09/jekyll-making-posts-sticky.org.markdown,../SWAAC Posts/jekyll-making-posts-sticky.md
must-have-gems-for-development-machine-in-ruby-on-rails-codebeerstartups,2013 09 must have gems for development machine in ruby on rails codebeerstartups org markdown,2013-09-01,"",2013/09/must-have-gems-for-development-machine-in-ruby-on-rails-codebeerstartups.org.markdown,../SWAAC Posts/must-have-gems-for-development-machine-in-ruby-on-rails-codebeerstartups.md
red-burns-list,2013 09 red burns list org markdown,2013-09-01,"",2013/09/red-burns-list.org.markdown,../SWAAC Posts/red-burns-list.md
json-how-to-send-raw-post-data-in-a-rails-functional-test-stack-overflow,2013 09 json how to send raw post data in a rails functional test stack overflow org markdown,2013-09-01,"",2013/09/json-how-to-send-raw-post-data-in-a-rails-functional-test-stack-overflow.org.markdown,../SWAAC Posts/json-how-to-send-raw-post-data-in-a-rails-functional-test-stack-overflow.md
essential-tools-for-starting-a-rails-app-in-2013--pete-keen,2013 09 essential tools for starting a rails app in 2013 pete keen org markdown,2013-09-01,"",2013/09/essential-tools-for-starting-a-rails-app-in-2013--pete-keen.org.markdown,../SWAAC Posts/essential-tools-for-starting-a-rails-app-in-2013--pete-keen.md
cool-thing-today-showterm-dot-io,2013 09 cool thing today showterm dot io org markdown,2013-09-01,"",2013/09/cool-thing-today-showterm-dot-io.org.markdown,../SWAAC Posts/cool-thing-today-showterm-dot-io.md
the-predicate-module-pattern,2013 09 the predicate module pattern org markdown,2013-09-01,"",2013/09/the-predicate-module-pattern.org.markdown,../SWAAC Posts/the-predicate-module-pattern.md
activerecord-enhanced-query-objects,2013 09 activerecord enhanced query objects org markdown,2013-09-01,"",2013/09/activerecord-enhanced-query-objects.org.markdown,../SWAAC Posts/activerecord-enhanced-query-objects.md
running-headless-selenium-with-chrome,2013 09 running headless selenium with chrome org markdown,2013-09-01,"",2013/09/running-headless-selenium-with-chrome.org.markdown,../SWAAC Posts/running-headless-selenium-with-chrome.md
index-scorched,2013 09 index scorched org markdown,2013-09-01,"",2013/09/index-scorched.org.markdown,../SWAAC Posts/index-scorched.md
why-you-should-stop-pirating-googles-geo-apis-pete-wardens-blog,2013 09 why you should stop pirating googles geo apis pete wardens blog org markdown,2013-09-01,"",2013/09/why-you-should-stop-pirating-googles-geo-apis-pete-wardens-blog.org.markdown,../SWAAC Posts/why-you-should-stop-pirating-googles-geo-apis-pete-wardens-blog.md
adding-real-time-to-rails-with-socket-dot-io-node-dot-js-and-backbone-dot-js-with-demo-liam-kaufman,2013 09 adding real time to rails with socket dot io node dot js and backbone dot js with demo liam kaufman org markdown,2013-09-01,"",2013/09/adding-real-time-to-rails-with-socket-dot-io-node-dot-js-and-backbone-dot-js-with-demo-liam-kaufman.org.markdown,../SWAAC Posts/adding-real-time-to-rails-with-socket-dot-io-node-dot-js-and-backbone-dot-js-with-demo-liam-kaufman.md
rspec-custom-formatters-displaying-test-durations,2013 09 rspec custom formatters displaying test durations org markdown,2013-09-01,"",2013/09/rspec-custom-formatters-displaying-test-durations.org.markdown,../SWAAC Posts/rspec-custom-formatters-displaying-test-durations.md
adding-real-time-to-a-restful-rails-app-liam-kaufman,2013 09 adding real time to a restful rails app liam kaufman org markdown,2013-09-01,"",2013/09/adding-real-time-to-a-restful-rails-app-liam-kaufman.org.markdown,../SWAAC Posts/adding-real-time-to-a-restful-rails-app-liam-kaufman.md
implementing-multi-table-full-text-search-with-postgres-in-rails-hashdog-blog,2013 09 implementing multi table full text search with postgres in rails hashdog blog org markdown,2013-09-01,"",2013/09/implementing-multi-table-full-text-search-with-postgres-in-rails-hashdog-blog.org.markdown,../SWAAC Posts/implementing-multi-table-full-text-search-with-postgres-in-rails-hashdog-blog.md
mass-inserting-data-in-rails-without-killing-your-performance-coffeepowered,2013 09 mass inserting data in rails without killing your performance coffeepowered org markdown,2013-09-01,"",2013/09/mass-inserting-data-in-rails-without-killing-your-performance-coffeepowered.org.markdown,../SWAAC Posts/mass-inserting-data-in-rails-without-killing-your-performance-coffeepowered.md
the-laws-of-software-design,2013 09 the laws of software design org markdown,2013-09-01,"",2013/09/the-laws-of-software-design.org.markdown,../SWAAC Posts/the-laws-of-software-design.md
bootstrap-follies-vertically-and-horizontally-centered-form,2013 08 bootstrap follies vertically and horizontally centered form org markdown,2013-08-01,"",2013/08/bootstrap-follies-vertically-and-horizontally-centered-form.org.markdown,../SWAAC Posts/bootstrap-follies-vertically-and-horizontally-centered-form.md
css-tricks-drop-caps,2013 08 css tricks drop caps org markdown,2013-08-01,"",2013/08/css-tricks-drop-caps.org.markdown,../SWAAC Posts/css-tricks-drop-caps.md
deploying-a-rails-app-using-nginx-unicorn-postgres-and-capistrano-to-digital-ocean,2013 08 deploying a rails app using nginx unicorn postgres and capistrano to digital ocean org markdown,2013-08-01,"",2013/08/deploying-a-rails-app-using-nginx-unicorn-postgres-and-capistrano-to-digital-ocean.org.markdown,../SWAAC Posts/deploying-a-rails-app-using-nginx-unicorn-postgres-and-capistrano-to-digital-ocean.md
shout-out-for-codeship-dot-io-adding-transcripts-to-video-blogs,2013 08 shout out for codeship dot io adding transcripts to video blogs org markdown,2013-08-01,"",2013/08/shout-out-for-codeship-dot-io-adding-transcripts-to-video-blogs.org.markdown,../SWAAC Posts/shout-out-for-codeship-dot-io-adding-transcripts-to-video-blogs.md
deploying-rails-app-using-nginx,2013 08 deploying rails app using nginx org markdown,2013-08-01,"",2013/08/deploying-rails-app-using-nginx.org.markdown,../SWAAC Posts/deploying-rails-app-using-nginx.md
a-simple-content-management-system-in-sinatra-part-1,2013 08 a simple content management system in sinatra part 1 org markdown,2013-08-01,"",2013/08/a-simple-content-management-system-in-sinatra-part-1.org.markdown,../SWAAC Posts/a-simple-content-management-system-in-sinatra-part-1.md
nginx-takes-the-slippery-road-away-from-open-source,2013 08 nginx takes the slippery road away from open source org markdown,2013-08-01,"",2013/08/nginx-takes-the-slippery-road-away-from-open-source.org.markdown,../SWAAC Posts/nginx-takes-the-slippery-road-away-from-open-source.md
how-to-reset-your-time-capsule-to-factory-settings-without-losing-your-data,2013 08 how to reset your time capsule to factory settings without losing your data org markdown,2013-08-01,"",2013/08/how-to-reset-your-time-capsule-to-factory-settings-without-losing-your-data.org.markdown,../SWAAC Posts/how-to-reset-your-time-capsule-to-factory-settings-without-losing-your-data.md
getting-keywords-from-a-web-page-via-nokogiri,2013 08 getting keywords from a web page via nokogiri org markdown,2013-08-01,"",2013/08/getting-keywords-from-a-web-page-via-nokogiri.org.markdown,../SWAAC Posts/getting-keywords-from-a-web-page-via-nokogiri.md
programmers-creativity,2013 08 programmers creativity org markdown,2013-08-01,"",2013/08/programmers-creativity.org.markdown,../SWAAC Posts/programmers-creativity.md
jekyllizing-my-cookbook,2013 08 jekyllizing my cookbook org markdown,2013-08-01,"",2013/08/jekyllizing-my-cookbook.org.markdown,../SWAAC Posts/jekyllizing-my-cookbook.md
possible-bug-ie8-wont-show-table-atargets-is-null-or-not-an-object-datatables-forums,2013 12 possible bug ie8 wont show table atargets is null or not an object datatables forums org markdown,2013-12-01,"",2013/12/possible-bug-ie8-wont-show-table-atargets-is-null-or-not-an-object-datatables-forums.org.markdown,../SWAAC Posts/possible-bug-ie8-wont-show-table-atargets-is-null-or-not-an-object-datatables-forums.md
how-to-add-travis-ci-capability-to-a-github-repo,2013 12 how to add travis ci capability to a github repo org markdown,2013-12-01,"",2013/12/how-to-add-travis-ci-capability-to-a-github-repo.org.markdown,../SWAAC Posts/how-to-add-travis-ci-capability-to-a-github-repo.md
ux-what-does-flat-design-really-mean-link,2013 12 ux what does flat design really mean link org markdown,2013-12-01,"",2013/12/ux-what-does-flat-design-really-mean-link.org.markdown,../SWAAC Posts/ux-what-does-flat-design-really-mean-link.md
cool-things-web-sequence-diagramer,2013 12 cool things web sequence diagramer org markdown,2013-12-01,"",2013/12/cool-things-web-sequence-diagramer.org.markdown,../SWAAC Posts/cool-things-web-sequence-diagramer.md
this-is-why-i-dont-like-sites-like-codeacademy,2013 12 this is why i dont like sites like codeacademy org markdown,2013-12-01,"",2013/12/this-is-why-i-dont-like-sites-like-codeacademy.org.markdown,../SWAAC Posts/this-is-why-i-dont-like-sites-like-codeacademy.md
playing-around-with-thor-generators,2014 03 playing around with thor generators org markdown,2014-03-01,"",2014/03/playing-around-with-thor-generators.org.markdown,../SWAAC Posts/playing-around-with-thor-generators.md
turning-off-ipv6-in-os-slash-x-maverics-10-dot-9,2014 04 turning off ipv6 in os slash x maverics 10 dot 9 org markdown,2014-04-01,"",2014/04/turning-off-ipv6-in-os-slash-x-maverics-10-dot-9.org.markdown,../SWAAC Posts/turning-off-ipv6-in-os-slash-x-maverics-10-dot-9.md
learning-resources-for-software-development-and-pr,2014 05 learning resources for software development and pr org markdown,2014-05-01,"",2014/05/learning-resources-for-software-development-and-pr.org.markdown,../SWAAC Posts/learning-resources-for-software-development-and-pr.md
dieter-rams-10-principles-for-good-design-readymag,2014 02 dieter rams 10 principles for good design readymag org markdown,2014-02-01,"",2014/02/dieter-rams-10-principles-for-good-design-readymag.org.markdown,../SWAAC Posts/dieter-rams-10-principles-for-good-design-readymag.md
dealing-with-mixed-encodings-in-a-file,2014 11 dealing with mixed encodings in a file org markdown,2014-11-01,"",2014/11/dealing-with-mixed-encodings-in-a-file.org.markdown,../SWAAC Posts/dealing-with-mixed-encodings-in-a-file.md
documenting-regular-expressions,2014 11 documenting regular expressions org markdown,2014-11-01,"",2014/11/documenting-regular-expressions.org.markdown,../SWAAC Posts/documenting-regular-expressions.md
how-to-converting-instance-variables-to-yaml-in-ruby,2014 11 how to converting instance variables to yaml in ruby org markdown,2014-11-01,"",2014/11/how-to-converting-instance-variables-to-yaml-in-ruby.org.markdown,../SWAAC Posts/how-to-converting-instance-variables-to-yaml-in-ruby.md
howto-quick-steps-to-install-emacs-24-without-x-on-ubuntu,2014 10 howto quick steps to install emacs 24 without x on ubuntu org markdown,2014-10-01,"",2014/10/howto-quick-steps-to-install-emacs-24-without-x-on-ubuntu.org.markdown,../SWAAC Posts/howto-quick-steps-to-install-emacs-24-without-x-on-ubuntu.md
link-when-women-stopped-coding,2014 10 link when women stopped coding org markdown,2014-10-01,"",2014/10/link-when-women-stopped-coding.org.markdown,../SWAAC Posts/link-when-women-stopped-coding.md
link-the-best-coding-language-for-you-to-learn,2014 10 link the best coding language for you to learn org markdown,2014-10-01,"",2014/10/link-the-best-coding-language-for-you-to-learn.org.markdown,../SWAAC Posts/link-the-best-coding-language-for-you-to-learn.md
career-advice,2014 07 career advice org markdown,2014-07-01,"",2014/07/career-advice.org.markdown,../SWAAC Posts/career-advice.md
a-place-to-get-started-in-web-design,2014 07 a place to get started in web design org markdown,2014-07-01,"",2014/07/a-place-to-get-started-in-web-design.org.markdown,../SWAAC Posts/a-place-to-get-started-in-web-design.md
a-new-jekyllpress-gem,2014 07 a new jekyllpress gem org markdown,2014-07-01,"",2014/07/a-new-jekyllpress-gem.org.markdown,../SWAAC Posts/a-new-jekyllpress-gem.md
chris-pines-learn-to-program-on-unshelved-comic,2014 07 chris pines learn to program on unshelved comic org markdown,2014-07-01,"",2014/07/chris-pines-learn-to-program-on-unshelved-comic.org.markdown,../SWAAC Posts/chris-pines-learn-to-program-on-unshelved-comic.md
converting-blog-to-pure-jekyll,2014 09 converting blog to pure jekyll org markdown,2014-09-01,"",2014/09/converting-blog-to-pure-jekyll.org.markdown,../SWAAC Posts/converting-blog-to-pure-jekyll.md
this-is-why-gandi-dot-net-is-my-registrar-of-choice,2014 01 this is why gandi dot net is my registrar of choice org markdown,2014-01-01,"",2014/01/this-is-why-gandi-dot-net-is-my-registrar-of-choice.org.markdown,../SWAAC Posts/this-is-why-gandi-dot-net-is-my-registrar-of-choice.md
from-static-to-dynamic-typing-a-change-in-beliefs,2014 01 from static to dynamic typing a change in beliefs org markdown,2014-01-01,"",2014/01/from-static-to-dynamic-typing-a-change-in-beliefs.org.markdown,../SWAAC Posts/from-static-to-dynamic-typing-a-change-in-beliefs.md
my-nerd-story-what-you-say-to-young-girls-matters--linux-dot-com,2014 01 my nerd story what you say to young girls matters linux dot com org markdown,2014-01-01,"",2014/01/my-nerd-story-what-you-say-to-young-girls-matters--linux-dot-com.org.markdown,../SWAAC Posts/my-nerd-story-what-you-say-to-young-girls-matters--linux-dot-com.md
repost-rspec-3-and-deprecated-and-return-blocks,2014 12 repost rspec 3 and deprecated and return blocks org markdown,2014-12-01,"",2014/12/repost-rspec-3-and-deprecated-and-return-blocks.org.markdown,../SWAAC Posts/repost-rspec-3-and-deprecated-and-return-blocks.md
learning,learning org markdown,2020-01-01,"",learning.org.markdown,../SWAAC Posts/learning.md
link-sharing-rails-views-with-jekyll,2015 03 link sharing rails views with jekyll org markdown,2015-03-01,"",2015/03/link-sharing-rails-views-with-jekyll.org.markdown,../SWAAC Posts/link-sharing-rails-views-with-jekyll.md
link-how-to-use-the-html5-sectioning-elements,2015 03 link how to use the html5 sectioning elements org markdown,2015-03-01,"",2015/03/link-how-to-use-the-html5-sectioning-elements.org.markdown,../SWAAC Posts/link-how-to-use-the-html5-sectioning-elements.md
how-to-use-alt-text-attribute-properly,2015 03 how to use alt text attribute properly org markdown,2015-03-01,"",2015/03/how-to-use-alt-text-attribute-properly.org.markdown,../SWAAC Posts/how-to-use-alt-text-attribute-properly.md
a-new-release-of-jekyllpress,2015 03 a new release of jekyllpress org markdown,2015-03-01,"",2015/03/a-new-release-of-jekyllpress.org.markdown,../SWAAC Posts/a-new-release-of-jekyllpress.md
rails-question-getting-x-where-there-are-no-y,2015 03 rails question getting x where there are no y org markdown,2015-03-01,"",2015/03/rails-question-getting-x-where-there-are-no-y.org.markdown,../SWAAC Posts/rails-question-getting-x-where-there-are-no-y.md
til-kernel-number-gets-is-different-from-io-number-gets,2015 04 til kernel number gets is different from io number gets org markdown,2015-04-01,"",2015/04/til-kernel-number-gets-is-different-from-io-number-gets.org.markdown,../SWAAC Posts/til-kernel-number-gets-is-different-from-io-number-gets.md
installing-phantomjs-on-ubuntu-linux,2015 04 installing phantomjs on ubuntu linux org markdown,2015-04-01,"",2015/04/installing-phantomjs-on-ubuntu-linux.org.markdown,../SWAAC Posts/installing-phantomjs-on-ubuntu-linux.md
the-x-y-problem,2015 04 the x y problem org markdown,2015-04-01,"",2015/04/the-x-y-problem.org.markdown,../SWAAC Posts/the-x-y-problem.md
new-site-jekyll-tips,2015 05 new site jekyll tips org markdown,2015-05-01,"",2015/05/new-site-jekyll-tips.org.markdown,../SWAAC Posts/new-site-jekyll-tips.md
multiple-vagrant-rails-development-box-setup-times,2015 05 multiple vagrant rails development box setup times org markdown,2015-05-01,"",2015/05/multiple-vagrant-rails-development-box-setup-times.org.markdown,../SWAAC Posts/multiple-vagrant-rails-development-box-setup-times.md
links,2015 05 links org markdown,2015-05-01,"",2015/05/links.org.markdown,../SWAAC Posts/links.md
tbp-bistate-booleans-in-rails,2015 05 tbp bistate booleans in rails org markdown,2015-05-01,"",2015/05/tbp-bistate-booleans-in-rails.org.markdown,../SWAAC Posts/tbp-bistate-booleans-in-rails.md
love-letter,2015 05 love letter org markdown,2015-05-01,"",2015/05/love-letter.org.markdown,../SWAAC Posts/love-letter.md
thor-scripting,2015 05 thor scripting org markdown,2015-05-01,"",2015/05/thor-scripting.org.markdown,../SWAAC Posts/thor-scripting.md
using-emacss-org-mode-and-editing-yaml-frontmatter-in-jekyll-posts,2015 05 using emacss org mode and editing yaml frontmatter in jekyll posts org markdown,2015-05-01,"",2015/05/using-emacss-org-mode-and-editing-yaml-frontmatter-in-jekyll-posts.org.markdown,../SWAAC Posts/using-emacss-org-mode-and-editing-yaml-frontmatter-in-jekyll-posts.md
snippet-getting-the-end-of-the-month-in-ruby,2015 05 snippet getting the end of the month in ruby org markdown,2015-05-01,"",2015/05/snippet-getting-the-end-of-the-month-in-ruby.org.markdown,../SWAAC Posts/snippet-getting-the-end-of-the-month-in-ruby.md
todays-reading,2015 05 todays reading org markdown,2015-05-01,"",2015/05/todays-reading.org.markdown,../SWAAC Posts/todays-reading.md
tiny-best-practices,2015 05 tiny best practices org markdown,2015-05-01,"",2015/05/tiny-best-practices.org.markdown,../SWAAC Posts/tiny-best-practices.md
til-beamer-installation-and-missing-fonts,2015 05 til beamer installation and missing fonts org markdown,2015-05-01,"",2015/05/til-beamer-installation-and-missing-fonts.org.markdown,../SWAAC Posts/til-beamer-installation-and-missing-fonts.md
